,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
'D0001411_GREY_BOT15_corr.dat',103.68,0.112317214,0.108598527,0.082973664,0.096715767,0.132155964,0.135915297,0.107400663,0.120718147,0.116113,106.475621,29.28762649,,,0.101296407,1.331240124
'D0001411_GREY_BOT16_corr.dat',104.96,0.112600129,0.108967541,0.086930975,0.098857405,0.129206368,0.13522112,0.10932059,0.120767167,0.126343,115.856531,28.93690468,,,0.102832393,1.274388494
'D0001411_GREY_BOT17_corr.dat',106.24,0.11136625,0.109415621,0.089992892,0.100191914,0.128943597,0.134509284,0.112905576,0.122316008,0.127927,117.309059,28.51868735,,,0.103591317,1.226662827
'D0001411_GREY_BOT18_corr.dat',107.52,0.116140589,0.111917142,0.085033477,0.099531171,0.131881701,0.135606342,0.110811385,0.122277703,0.125134,114.747878,28.61898696,,,0.104364552,1.340987929
'D0001411_GREY_BOT19_corr.dat',108.8,0.111822926,0.114214753,0.081376445,0.097197642,0.133891083,0.140641187,0.111077351,0.124171743,0.128337,117.685029,28.07927084,,,0.102471819,1.388839728
'D0001411_GREY_BOT20_corr.dat',110.08,0.107764586,0.112917069,0.085325812,0.09783332,0.137625935,0.143997179,0.115547438,0.128179497,0.128906,118.206802,27.18356739,,,0.102002772,1.293170555
'D0001411_GREY_BOT21_corr.dat',111.36,0.111097916,0.108693338,0.085358026,0.097626827,0.142337488,0.14561125,0.117050844,0.130512606,0.134608,123.435536,26.52286314,,,0.101716582,1.287466826
'D0001411_GREY_BOT22_corr.dat',112.64,0.110654621,0.109246299,0.082848559,0.09639951,0.14221977,0.147248346,0.11676235,0.130748204,0.142841,130.985197,26.22319768,,,0.100916482,1.327125802
'D0001411_GREY_BOT23_corr.dat',113.92,0.106924484,0.105239943,0.086673606,0.09637791,0.141034169,0.145218717,0.118541068,0.130833756,0.144793,132.775181,26.14637167,,,0.09961285,1.223927539
'D0001411_GREY_BOT24_corr.dat',115.2,0.103187435,0.098756963,0.085856452,0.093414326,0.140810331,0.140810331,0.120345808,0.13057807,0.149322,136.928274,26.05883217,,,0.095933753,1.176058366
NaN,116.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,117.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,119.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,120.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
